Image,Freq
HPAP-003_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,7361
HPAP-003_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI5.ome.tiff - Image0,7995
HPAP-003_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI6.ome.tiff - Image0,7555
HPAP-003_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,7569
HPAP-003_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,7536
HPAP-003_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,8161
HPAP-004_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,9515
HPAP-004_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,8680
HPAP-004_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,9884
HPAP-004_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,11548
HPAP-004_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,8588
HPAP-004_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9418
HPAP-004_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8447
HPAP-004_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,10888
HPAP-004_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,10700
HPAP-008_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,9767
HPAP-008_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,8769
HPAP-008_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,10282
HPAP-008_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8523
HPAP-008_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,7836
HPAP-008_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9230
HPAP-017_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,9845
HPAP-017_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,8522
HPAP-017_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,10837
HPAP-018_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,10660
HPAP-018_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,9012
HPAP-018_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,8937
HPAP-018_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8314
HPAP-018_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,9610
HPAP-018_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,10095
HPAP-018_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI5.ome.tiff - Image0,8099
HPAP-019_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8503
HPAP-019_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,9528
HPAP-019_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,8227
HPAP-019_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,9367
HPAP-019_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,8994
HPAP-019_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9617
HPAP-019_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8589
HPAP-019_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,8744
HPAP-019_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9331
HPAP-027_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,9138
HPAP-027_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,10678
HPAP-027_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9861
HPAP-027_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,10172
HPAP-027_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,9756
HPAP-027_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9768
HPAP-053_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,9739
HPAP-053_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,9634
HPAP-053_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9858
HPAP-053_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,10624
HPAP-053_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,12734
HPAP-053_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,7879
HPAP-053_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,9944
HPAP-053_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,10327
HPAP-053_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9537
HPAP-054_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8414
HPAP-054_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,12263
HPAP-054_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9593
