Category,Term,Genes,Count,List Total,Pop Hits,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact
KEGG_PATHWAY,Cell adhesion molecules,7%,9,72,181,10620,0.000026,0.00354,7.33,0.00497,0.00334,0.00000336
KEGG_PATHWAY,Viral myocarditis,5%,7,72,94,10620,0.0000369,0.00354,10.98,0.00706,0.00334,0.00000313
KEGG_PATHWAY,Antigen processing and presentation,4%,6,72,88,10620,0.000295,0.0189,10.06,0.0551,0.0178,0.0000275
KEGG_PATHWAY,Graft-versus-host disease,4%,5,72,60,10620,0.000674,0.0259,12.29,0.121,0.0244,0.0000509
KEGG_PATHWAY,Allograft rejection,4%,5,72,60,10620,0.000674,0.0259,12.29,0.121,0.0244,0.0000509
KEGG_PATHWAY,Epstein-Barr virus infection,6%,8,72,229,10620,0.000814,0.0261,5.15,0.145,0.0246,0.000151
KEGG_PATHWAY,Type I diabetes mellitus,4%,5,72,67,10620,0.00102,0.0281,11.01,0.178,0.0265,0.0000867
KEGG_PATHWAY,Cellular senescence,5%,7,72,183,10620,0.00137,0.0328,5.64,0.231,0.0309,0.00023
KEGG_PATHWAY,Autoimmune thyroid disease,4%,5,72,76,10620,0.00164,0.0349,9.70,0.27,0.0329,0.000158
KEGG_PATHWAY,ECM-receptor interaction,4%,5,72,89,10620,0.00292,0.0525,8.29,0.43,0.0495,0.000332
KEGG_PATHWAY,Herpes simplex virus 1 infection,5%,7,72,214,10620,0.00301,0.0525,4.82,0.439,0.0495,0.000594
KEGG_PATHWAY,Hematopoietic cell lineage,4%,5,72,94,10620,0.00356,0.0569,7.85,0.495,0.0537,0.000428
KEGG_PATHWAY,Th17 cell differentiation,4%,5,72,105,10620,0.00528,0.078,7.02,0.638,0.0735,0.00071
KEGG_PATHWAY,Human T-cell leukemia virus 1 infection,5%,7,72,247,10620,0.00604,0.0829,4.18,0.688,0.0781,0.00138
KEGG_PATHWAY,Estrogen signaling pathway,4%,5,72,134,10620,0.0123,0.157,5.50,0.907,0.148,0.00211
KEGG_PATHWAY,Kaposi sarcoma-associated herpesvirus infection,4%,6,72,224,10620,0.0168,0.18,3.95,0.962,0.17,0.00404
KEGG_PATHWAY,Transcriptional misregulation in cancer,4%,6,72,226,10620,0.0174,0.18,3.92,0.966,0.17,0.00422
KEGG_PATHWAY,Viral carcinogenesis,4%,6,72,228,10620,0.0181,0.18,3.88,0.97,0.17,0.0044
KEGG_PATHWAY,B cell receptor signaling pathway,3%,4,72,84,10620,0.0185,0.18,7.02,0.973,0.17,0.00249
KEGG_PATHWAY,Mucin type O-glycan biosynthesis,2%,3,72,32,10620,0.0192,0.18,13.83,0.976,0.17,0.00129
KEGG_PATHWAY,Insulin secretion,3%,4,72,86,10620,0.0197,0.18,6.86,0.978,0.17,0.00271
KEGG_PATHWAY,Intestinal immune network for IgA production,2%,3,72,43,10620,0.0334,0.277,10.29,0.999,0.262,0.00304
KEGG_PATHWAY,Endocytosis,4%,6,72,270,10620,0.0342,0.277,3.28,0.999,0.262,0.00982
KEGG_PATHWAY,NF-kappa B signaling pathway,3%,4,72,107,10620,0.0347,0.277,5.51,0.999,0.262,0.00593
KEGG_PATHWAY,Leukocyte transendothelial migration,3%,4,72,119,10620,0.0452,0.347,4.96,1.00e+0,0.328,0.00858
