Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
KEGG_PATHWAY,mmu04141:Protein processing in endoplasmic reticulum,7,41.17647059,5.93E-09,"81489, 193740, 12317, 15481, 15511, 15505, 15516",11,175,9789,35.59636364,3.80E-07,3.80E-07,3.38E-07
KEGG_PATHWAY,mmu04612:Antigen processing and presentation,5,29.41176471,1.17E-06,"193740, 12317, 15481, 15511, 15516",11,87,9789,51.14420063,7.51E-05,3.76E-05,3.34E-05
KEGG_PATHWAY,mmu04213:Longevity regulating pathway - multiple species,4,23.52941176,2.68E-05,"193740, 15481, 16333, 15511",11,61,9789,58.35469449,0.001712818,5.71E-04,5.09E-04
KEGG_PATHWAY,mmu04915:Estrogen signaling pathway,4,23.52941176,2.81E-04,"193740, 15481, 15511, 15516",11,134,9789,26.56445047,0.017797388,0.004488787,0.003997826
KEGG_PATHWAY,mmu05417:Lipid and atherosclerosis,4,23.52941176,0.001149042,"193740, 15481, 15511, 15516",11,217,9789,16.40385421,0.070939059,0.014707732,0.013099074
KEGG_PATHWAY,mmu05134:Legionellosis,3,17.64705882,0.001610831,"193740, 15481, 15511",11,60,9789,44.49545455,0.098032073,0.017182199,0.015302896
KEGG_PATHWAY,mmu04010:MAPK signaling pathway,4,23.52941176,0.002886006,"193740, 15481, 16333, 15511",11,299,9789,11.90513834,0.168871945,0.026386336,0.023500331
KEGG_PATHWAY,mmu05145:Toxoplasmosis,3,17.64705882,0.005215429,"193740, 15481, 15511",11,109,9789,24.49291076,0.284419314,0.041723432,0.037159932
KEGG_PATHWAY,mmu05162:Measles,3,17.64705882,0.009070691,"193740, 15481, 15511",11,145,9789,18.41191223,0.44187546,0.064502694,0.057447712
KEGG_PATHWAY,mmu03040:Spliceosome,3,17.64705882,0.028465301,"193740, 15481, 15511",11,265,9789,10.07444254,0.842481255,0.160435157,0.142887562
KEGG_PATHWAY,mmu04144:Endocytosis,3,17.64705882,0.029471116,"193740, 15481, 15511",11,270,9789,9.887878788,0.852584972,0.160435157,0.142887562
KEGG_PATHWAY,mmu05020:Prion disease,3,17.64705882,0.030081592,"193740, 15481, 15511",11,273,9789,9.779220779,0.858403369,0.160435157,0.142887562
KEGG_PATHWAY,mmu04914:Progesterone-mediated oocyte maturation,2,11.76470588,0.091084266,"16333, 15516",11,93,9789,19.13782991,0.997784296,0.446299008,0.397485054
KEGG_PATHWAY,mmu05215:Prostate cancer,2,11.76470588,0.097627908,"16333, 15516",11,100,9789,17.79818182,0.998604654,0.446299008,0.397485054
