,AL.oldAL1,AL.oldAL2,CR.oldCR1,CR.oldCR2
Xkr4,4746,6328,4888,8646
Gm1992,23,53,41,54
Gm19938,146,152,126,298
Rp1,4,5,7,12
Sox17,2,2,0,2
Mrpl15,26,59,37,73
Lypla1,214,352,213,451
Tcea1,550,590,572,1062
Rgs20,594,1137,990,1040
Atp6v1h,856,827,986,1896
4732440D04Rik,45,128,101,80
Rb1cc1,1481,1341,1378,2580
St18,4303,4585,4718,11264
Gm57122,4,7,12,16
Pcmtd1,639,762,677,1271
Gm26901,50,85,30,79
Sntg1,1059,1030,285,1304
Rrs1,14,13,8,11
Adhfe1,12,4,12,16
2610203C22Rik,4,12,15,32
Mybl1,37,31,52,70
Vcpip1,275,298,274,556
1700034P13Rik,11,10,10,17
Sgk3,529,810,636,1320
Snhg6,19,41,27,60
Mcmdc2,19,19,6,30
Tcf24,7,34,22,13
Ppp1r42,18,36,23,21
Cops5,222,343,289,534
Cspp1,2479,3223,2528,4985
Arfgef1,2053,2188,1745,3646
Cpa6,25,31,5,30
Prex2,25,25,0,36
A830018L16Rik,5,6,6,21
Sulf1,1,3,0,2
Slco5a1,5,25,5,29
Ncoa2,3271,3677,2925,6595
Gm29570,3,3,3,9
Tram1,840,998,944,1772
Gm57152,1,4,2,3
Lactb2,192,331,201,481
Eya1,595,594,381,1089
Trpa1,2,7,1,1
Kcnb2,3422,3072,1606,5283
Terf1,296,336,297,517
Sbspon,1,4,1,3
4930444P10Rik,6,3,5,11
Rpl7,120,270,182,171
Rdh10,111,130,101,135
Gm28095,2,8,6,10
Stau2,2259,2906,1962,4560
Gm7568,4,6,4,18
Ube2w,673,906,754,1656
Eloc,162,155,147,338
Tmem70,17,40,35,40
Ly96,90,93,115,136
Gm28376,7,6,9,14
Jph1,37,17,42,99
Gdap1,182,329,243,382
Pi15,0,1,0,4
Gm28154,0,0,0,0
Gm16070,0,2,0,1
Crispld1,1,0,0,2
Pkhd1,1115,1035,1329,2141
4930486I03Rik,4,3,8,3
Mcm3,4,4,0,6
6720483E21Rik,2,1,5,8
Paqr8,88,79,149,194
Efhc1,103,77,136,220
Tram2,245,128,207,587
Tmem14a,3,8,8,7
Gsta3,5,3,6,10
Kcnq5,123,88,12,63
Rims1,39,93,33,83
Gm29506,6,5,24,25
Gm27028,0,1,0,0
Gm29107,6,13,7,14
Ogfrl1,34,22,7,53
B3gat2,1,9,4,1
Smap1,530,629,513,1016
Sdhaf4,19,30,21,21
Fam135a,1457,1624,1364,2834
Col19a1,4,8,1,12
Lmbrd1,1074,946,1083,2599
Adgrb3,5568,8138,5504,9644
Phf3,1517,1275,1368,2657
Ptp4a1,62,55,65,103
Ptp4a1.1,6,9,11,8
4931428L18Rik,2,2,1,1
Khdrbs2,358,376,232,495
Gm37724,7,4,3,7
Prim2,296,292,302,547
Gm57180,3,3,0,4
Rab23,81,81,93,157
Bag2,41,41,66,121
Zfp451,462,514,442,879
Bend6,3,0,0,0
Dst,10279,9777,7298,18502
Gm26788,15,14,19,27
Gm37233,19,22,13,24
Ccdc115,12,33,14,23
Imp4,49,62,58,98
Ptpn18,24,59,37,58
Gm28417,1,2,0,4
Amer3,14,10,2,16
Arhgef4,2,11,9,8
Gm38336,3,2,5,3
Fam168b,437,393,482,1126
Plekhb2,153,209,143,304
Hs6st1,572,502,400,792
Uggt1,913,1321,1026,2158
Neurl3,31,12,17,15
Arid5a,105,36,63,267
4930403P22Rik,3,3,3,4
Kansl3,314,339,245,614
Fer1l5,5,4,4,7
Lman2l,176,196,196,351
Cnnm4,83,86,54,168
Cnnm3,175,190,154,278
Gm38033,0,1,1,2
Ankrd23,40,48,28,73
Ankrd39,54,97,63,157
Sema4c,23,37,30,46
D430040D24Rik,10,9,11,8
Fam178b,1,2,3,7
Cox5b,26,26,47,64
Actr1b,244,214,197,501
4933424G06Rik,12,14,8,22
Gm33533,5,12,5,4
Zap70,8,16,2,4
Tmem131,1282,1228,1216,2367
Gm38115,47,47,29,89
Vwa3b,70,45,119,163
Inpp4a,1878,1830,1496,3142
4930439A04Rik,3,1,2,2
Coa5,13,25,27,36
Unc50,81,93,88,184
Mgat4a,197,159,100,233
Cracdl,179,228,150,278
Tsga10,223,148,149,274
Gm26805,2,1,3,2
Lipt1,3,6,4,6
Mitd1,91,133,119,229
Mrpl30,28,47,39,59
Txndc9,100,119,130,271
Eif5b,782,890,689,1335
Rev1,1150,969,1043,2357
Gm37062,3,0,1,3
Aff3,263,238,4,42
Gm16152,4,1,3,0
Lonrf2,576,768,555,1260
Chst10,94,67,78,118
Pdcl3,29,37,36,59
Npas2,85,62,44,48
