"","AL.oldAL1","AL.oldAL2","CR.oldCR1","CR.oldCR2"
"Xkr4",576,281,392,969
"Gm1992",4,1,2,4
"Gm19938",19,5,12,24
"Rp1",2,1,3,11
"Sox17",0,0,0,2
"Mrpl15",6,7,7,18
"Lypla1",46,48,51,115
"Tcea1",120,62,121,288
"Rgs20",20,17,0,29
"Atp6v1h",209,103,159,412
"4732440D04Rik",20,13,15,35
"Rb1cc1",355,206,319,907
"St18",1605,823,1331,3765
"Gm57122",0,0,1,6
"Pcmtd1",158,78,137,288
"Gm26901",21,13,4,19
"Sntg1",4467,2335,4866,10383
"Rrs1",0,2,2,1
"Adhfe1",0,0,1,3
"2610203C22Rik",0,0,0,3
"Mybl1",2,0,3,8
"Vcpip1",71,64,73,175
"1700034P13Rik",1,0,5,5
"Sgk3",132,97,137,369
"Snhg6",4,7,3,12
"Mcmdc2",3,4,3,10
"Tcf24",2,2,2,2
"Ppp1r42",14,12,5,35
"Cops5",74,42,49,143
"Cspp1",785,468,658,1847
"Arfgef1",638,348,560,1328
"Cpa6",94,38,140,355
"Prex2",7,1,0,28
"A830018L16Rik",10,11,7,33
"Sulf1",0,1,0,3
"Slco5a1",1,2,9,20
"Ncoa2",1095,597,915,2519
"Gm29570",1,0,2,3
"Tram1",267,224,212,638
"Gm57152",0,0,2,1
"Lactb2",75,60,94,213
"Eya1",96,59,102,315
"Trpa1",4,3,1,0
"Kcnb2",767,289,330,1760
"Terf1",69,34,52,170
"Sbspon",0,1,1,1
"4930444P10Rik",3,1,2,6
"Rpl7",5,14,20,7
"Rdh10",17,17,16,42
"Gm28095",1,0,0,0
"Stau2",623,299,612,1425
"Gm7568",0,0,1,0
"Ube2w",187,141,190,519
"Eloc",28,24,30,113
"Tmem70",6,7,1,18
"Ly96",12,9,20,39
"Gm28376",3,0,0,7
"Jph1",4,6,5,36
"Gdap1",57,40,42,129
"Pi15",0,0,0,0
"Gm28154",0,0,0,0
"Gm16070",0,0,0,1
"Crispld1",0,0,0,0
"Pkhd1",297,184,324,705
"4930486I03Rik",1,0,0,3
"Mcm3",0,1,0,0
"6720483E21Rik",3,0,4,6
"Paqr8",16,9,7,34
"Efhc1",19,13,26,75
"Tram2",114,23,84,385
"Tmem14a",2,2,0,5
"Gsta3",2,0,0,2
"Kcnq5",14,4,0,0
"Rims1",1,3,7,3
"Gm29506",1,0,3,2
"Gm27028",1,1,0,0
"Gm29107",2,1,3,1
"Ogfrl1",9,9,13,14
"B3gat2",17,7,26,43
"Smap1",118,67,95,267
"Sdhaf4",0,5,6,15
"Fam135a",417,258,350,988
"Col19a1",11,2,0,18
"Lmbrd1",322,127,329,791
"Adgrb3",895,389,410,1706
"Phf3",359,178,323,820
"Ptp4a1",15,6,20,26
"Ptp4a1.1",4,1,1,0
"4931428L18Rik",0,0,0,0
"Khdrbs2",5,29,7,20
"Gm37724",2,1,2,4
"Prim2",62,35,47,133
"Gm57180",0,1,1,1
"Rab23",31,21,22,86
"Bag2",18,10,29,76
"Zfp451",120,102,93,332
"Bend6",1,0,0,0
"Dst",2425,1343,2102,5557
"Gm26788",3,3,3,7
"Gm37233",0,0,1,4
"Ccdc115",1,3,4,9
"Imp4",9,1,15,20
"Ptpn18",3,1,1,7
"Gm28417",0,0,0,0
"Amer3",2,1,2,7
"Arhgef4",2,1,0,8
"Gm38336",0,1,2,3
"Fam168b",90,36,87,264
"Plekhb2",54,19,41,119
"Hs6st1",60,37,35,144
"Uggt1",471,410,524,1375
"Neurl3",0,1,7,3
"Arid5a",24,4,21,63
"4930403P22Rik",0,0,0,3
"Kansl3",130,51,82,270
"Fer1l5",2,0,0,3
"Lman2l",45,34,52,155
"Cnnm4",27,11,17,63
"Cnnm3",40,20,56,93
"Gm38033",1,0,1,1
"Ankrd23",18,12,18,50
"Ankrd39",19,12,18,54
"Sema4c",2,3,4,20
"D430040D24Rik",1,1,0,0
"Fam178b",0,0,0,1
"Cox5b",8,4,9,6
"Actr1b",70,28,65,189
"4933424G06Rik",1,2,5,9
"Gm33533",1,4,2,5
"Zap70",0,0,0,5
"Tmem131",266,173,216,722
"Gm38115",8,5,7,31
"Vwa3b",14,5,6,56
"Inpp4a",697,330,525,1605
"4930439A04Rik",1,0,1,0
"Coa5",4,3,2,9
"Unc50",19,7,18,39
"Mgat4a",66,25,39,119
"Cracdl",110,60,82,342
"Tsga10",99,28,47,151
"Gm26805",0,0,0,0
"Lipt1",1,1,0,7
"Mitd1",21,22,28,58
"Mrpl30",11,8,9,22
"Txndc9",39,15,23,74
"Eif5b",239,122,193,468
"Rev1",325,143,244,864
"Gm37062",0,1,0,0
"Aff3",9,0,6,13
"Gm16152",0,0,0,0
"Lonrf2",56,40,47,83
"Chst10",15,7,5,27
"Pdcl3",3,5,7,21
"Npas2",22,7,1,6
"Rpl31",10,7,30,44
"Tbc1d8",184,138,209,615
"Cnot11",18,6,18,24
"Gm15832",1,1,0,6
"Rnf149",18,13,14,39
"Creg2",20,6,13,32
"Rfx8",19,2,13,12
"Map4k4",325,216,293,797
"Il1r2",5,8,3,12
"Gm16894",25,15,23,37
"Il1r1",1148,650,677,3280
"Il1rl2",0,2,1,9
"Il18r1",0,1,4,1
"Slc9a2",2,0,3,5
"Mfsd9",1,1,0,2
"Mrps9",88,48,87,215
"Gpr45",77,51,77,109
"Tgfbrap1",81,54,62,204
"8430432A02Rik",1,3,1,0
"AI597479",12,20,16,36
"Fhl2",96,42,204,434
"Nck2",131,97,117,384
"Gm29155",0,0,0,0
"Uxs1",77,36,42,139
"Gm57117",0,0,0,0
"Tpp2",183,118,199,498
"Mettl21c",1,3,0,4
"Gm8251",3,4,2,1
"Tex30",17,6,9,15
"Poglut2",19,12,16,43
"Bivm",16,11,9,39
"Ercc5",74,36,42,155
"Gulp1",0,2,2,1
"Col3a1",0,0,0,0
"Col5a2",0,0,0,0
"Wdr75",49,42,48,131
"Slc40a1",24,8,30,74
"Dnah7b",53,19,77,94
"Dnah7c",13,2,5,16
"Slc39a10",17,15,15,33
"Gm28151",0,1,0,1
"Tmeff2",15,6,6,13
"Cavin2",0,0,2,0
"Nabp1",15,11,16,45
"Gm17767",1,3,0,4
"Gm28055",8,1,11,23
"Myo1b",174,118,155,392
"Gm29453",2,1,2,8
"Gm28323",3,0,2,3
"Stat4",6,1,0,0
"Gm31812",1,2,1,7
"Stat1",58,31,48,128
"Gls",647,221,363,1010
"Nab1",27,18,29,89
"Gm53065",0,0,0,5
"Nemp2",11,9,11,40
"Mfsd6",130,51,96,311
"Gm29670",1,0,1,5
"Inpp1",34,17,29,84
"Hibch",85,33,62,169
"1700019D03Rik",83,39,65,201
"Mstn",0,0,0,0
"1700019A02Rik",2,2,9,9
"Pms1",63,41,70,153
"Ormdl1",5,8,2,12
"Osgepl1",26,26,17,39
"ENSMUSG00000121346",2,1,7,13
"Asnsd1",12,10,6,13
"Dnah7a",2,3,3,6
"Stk17b",0,2,1,0
"Hecw2",1,13,0,1
"Ccdc150",2,2,4,11
"Gtf3c3",55,25,35,113
"Pgap1",192,99,160,424
"Ankrd44",1663,704,1496,3811
"4930444A19Rik",29,15,32,36
"Sf3b1",574,285,610,1764
"Coq10b",191,84,335,708
"Hspd1",55,99,52,115
"Hspe1",18,39,10,34
"Mob4",68,36,108,213
"Rftn2",0,1,0,1
"Gm10561",0,0,1,0
"Mars2",4,5,3,13
"Boll",1,2,3,9
"Plcl1",13,18,0,21
"Satb2",4,1,10,17
"1700066M21Rik",3,3,0,8
"Tyw5",13,15,14,17
"Maip1",3,4,10,12
"Spats2l",0,0,0,5
"Kctd18",28,19,24,45
"Sgo2a",0,2,0,3
"Aox1",108,78,108,224
"Aox2",0,0,0,1
"Bzw1",122,54,121,318
"Clk1",734,294,562,1817
"Ppil3",9,8,8,14
"Nif3l1",22,8,2,24
"Orc2",51,26,65,108
"Gm15834",23,15,20,29
"Hycc2",72,52,66,168
"Ndufb3",2,5,4,10
"Flacc1",0,1,1,1
"Gm20257",3,7,4,13
"Cflar",61,68,69,200
"Casp8",47,22,41,85
"Trak2",98,43,54,157
"Stradb",12,13,19,29
"C2cd6",0,1,1,0
"Tmem237",14,7,10,42
"G730003C15Rik",0,0,0,0
"Mpp4",6,3,11,14
"Als2",94,63,92,233
"Gm33667",0,1,0,4
"Cdk15",1,0,1,1
"Fzd7",2,3,0,2
"Gm973",17,35,41,45
"Sumo1",268,126,242,800
"Nop58",93,44,85,239
"B430105G09Rik",0,0,2,1
"Bmpr2",219,121,145,446
"Fam117b",291,102,292,731
"Ica1l",84,34,56,153
"Wdr12",37,23,32,70
"Carf",92,49,76,177
"Nbeal1",361,219,315,743
"Cyp20a1",58,30,39,135
"Abi2",166,108,127,430
"Raph1",50,22,12,64
"Cd28",1,0,0,0
"Ctla4",0,2,0,0
"Gm11588",3,0,0,0
"Pard3b",1169,576,1042,2579
"Pard3bos1",8,1,5,6
"Pard3bos3",0,0,0,1
"Nrp2",7,4,4,17
"Ino80d",170,100,184,455
"Ino80dos",47,34,48,148
"Gm20342",37,32,31,83
"Ndufs1",67,52,57,175
"Eef1b2",14,16,23,38
"Cmklr2",0,1,1,0
"Zdbf2",484,192,598,1312
"Adam23",45,36,74,145
"Mdh1b",0,3,2,7
