ID,Group
R186,Old
R187,Young
R217,Old
R218,Old
R224,Young
R225,Old
R229,Young
R233,Old
R239,Young
R252,Young
R260,Old
R266,Old
R267,Old
R269,Young
R279,Young
R284,Young
R288,Old
R290,Old
R297,Old
R300,Young
R306,Young
R308,Young
R310,Young
R314,Young
R319,Old
R326,Young
R333,Young
R335,Young
R338,Young
R346,Young
R353,Old
R354,Old
R363,Young
R369,Old
R370,Young
R373,Young
R374,Young
R375,Young
R391,Old
R392,Young
R396,Young
R409,Young
R411,Young
R415,Young
R416,Old
R419,Old
R424,Young
R426,Young
R428,Old
