feature_id,R187,R224,R229,R239,R252,R269,R279,R284,R300,R306,R308,R310,R314,R326,R333,R335,R338,R346,R363,R370,R373,R374,R375,R392,R396,R409,R411,R415,R424,R426,R186,R217,R218,R225,R233,R260,R266,R267,R288,R290,R297,R319,R353,R354,R369,R391,R416,R419,R428
A0A024RBG1,2188.605,2338.363333,1586.153333,2437.7,1543.3,3233.63,1135.4,3055.333333,2406.63,1427.23,1768.14,4868.67,1943.63,2077.992,2778.626667,2698.15,2405.67,2873.61,1466.785,2699.6,2922.25,2628.195,NA,1869.74,NA,1886.42,2259.093333,2544.44,991.9455,1755.05,2370.28,2695.675,1991.423333,2090.286667,2145.386667,5360.513333,2733.94,2494.816667,2218.496667,2000.023333,2648.536667,1984.905,2094.89,1552.155,2598.885,2391.715,1533.638333,795.977,1929.515
A0A075B6K5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1143.490333,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0B4J2D5,92014.4,76675.13333,81395.93333,93106.53333,87681.73333,81013.46667,80907.5,70778.96667,75629.46667,93627.96667,76642.33333,89419.53333,75656.9,78104.36667,74664.16667,77171.8,89744.2,89356.7,85463.76667,86821.1,77568.96667,86938.53333,88828.9,78789.53333,80030.33333,68569.93333,72797.46667,49294.56667,67739.16667,78779.9,90210.56667,95824.5,69005.3,86574.2,78282.66667,70107.4,76597.83333,65851.33333,84331.43333,95126.26667,92408.26667,94670.7,120760.3333,108422.2333,68240.6,97874.56667,90372.76667,53136.4,60210.23333
A0A0B4J2F0,NA,5018.5,3509.47,4635.606667,4221.16,4315.675,3941.325,3993.79,NA,4152.64,NA,NA,NA,NA,3724.44,NA,NA,5316.85,7051.453333,3584.31,NA,5350.26,NA,5293.68,NA,5153.09,5244.906667,3041.01,7096.516667,8656.885,NA,4705.83,1946.82,5604.41,3363.93,4967.61,6190.785,5914.895,4258.97,NA,4431.766667,NA,4340.05,4619.275,4977.675,6570.17,5391.97,4876.666667,7216.603333
A0A1B0GWB2,NA,9711.65,6150.75,NA,4964.25,4021.43,NA,6091.04,NA,5208.78,NA,6021.02,4342.53,4945.28,6265.95,NA,NA,5379,9855.535,9099.936667,12255.2,5708.28,5386.66,8480.07,9617.865,8626.375,5222.17,6625.535,NA,6117.7,5896.87,4798.415,7255.23,NA,NA,5425.67,NA,6277.745,NA,NA,8469.64,NA,8679.346667,7523.975,8940.19,3808.49,5844.12,11060.665,NA
A0AV02,2364.686667,1706.253333,1404.02,2750.486667,1743.745,2308.02,2964.09,1527.666667,1244.12,1810.215,1536.49,2575.99,1843.5515,1838.966667,3001.436667,1697.515,2386.396667,1964.34,2220.91,2367.096667,2647.62,2143.595,NA,1878.035,NA,2623.623333,2049.656667,1740.323333,1807.22,1329.245,1448.74,1202.258,1079.55,2716.77,1737.35,2735.97,2279.175,1120.13,2477.956667,2333,2463.635,1674.206333,2165.09,2617.62,1239.87,494.747,1376.87,2058.636667,2361.823333
A0AV96,12055.46667,13655.93333,11025.29333,12822.96667,12686.4,10402.95,10850.33333,9804.3,11492.56667,11130.06667,8525.413333,10051.785,9964.24,11817.53333,11109.5,15014.93333,9096.173333,9873.873333,9954.3,10147.25,9483.64,9306.25,10721.33333,8317.586667,4076.826667,11813.1,10661.6,11303.5,9917.803333,6499.02,12027.56667,10349.75,9720.793333,10477.61,12220.8,15443.63333,12423.73333,10848.61667,11837.3,11647,11384.2,10013.65667,7788.85,10023.86,10093.38333,8617.62,8393.203333,12181.43333,10360.22
A0AVF1,31959.93333,33056.16667,32201.16667,31511.03333,45953.53333,45525.1,25016.06667,42584.9,39123.36667,47447.9,36030.8,50308.25,40523.03333,43843.2,45341.53333,35450.13333,37892.93333,38368,39149.83333,41618.16667,38488.13333,45343.4,34390.03333,32315.43333,39026.15,28620.43333,30442.16667,35164.4,36049.83333,35284.76667,34084.5,34119.43333,32899.73333,29741.4,27065.13333,38387.66667,39685.3,37634.73333,42363.6,37155.33333,43808.93333,50521.13333,58432.33333,38832.36667,41903.23333,44475.1,37165.3,34496,27599.9
A0AVT1,33360.73333,35987.13333,34765.2,37316.2,37459.83333,36413.43333,31881.06667,36319,36585.8,36960.2,35672.3,37423.5,31731.5,35449.3,36926.26667,35308.93333,40138.4,35752.1,38804,43413.33333,38640.3,37218.06667,35216.3,40214.33333,27791.6,35730.03333,38728.13333,35705.6,31934.4,36953.9,35345.3,35005.76667,34394.13333,37871.4,36306.6,25105.6,34105.33333,35540.53333,35717.66667,33466.36667,35767.66667,38084.43333,36424.66667,35607.7,41148.56667,39019.33333,36292.66667,37252.53333,30907.43333
A0FGR8,24664.16667,23971.76667,21824,24124.66667,21786.83333,24955.9,32319.43333,25520.2,26365.9,24907.6,24005.36667,20202.8,26960.96667,20623.2,22819.23333,24303.96667,23351.56667,25489.2,23494,23388.3,23958.66667,23138.36667,25458.66667,24528.46667,35339.66667,23896.86667,24490.43333,22243.76667,23677.6,27633.13333,26144.96667,24934.16667,21477.16667,24791.13333,27589.1,28168.46667,22594.2,26469.66667,22235.46667,24966.9,23016.26667,22996.1,27940.66667,24302.6,24530.36667,24570.23333,25052.26667,22498.76667,27182.73333
