feature_id,Reviewed,Entry.Name,Protein.names,Gene.Names,Organism,Length
P50897,reviewed,PPT1_HUMAN,Palmitoyl-protein thioesterase 1 (PPT-1) (EC 3.1.2.2) (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1),PPT1 CLN1 PPT,Homo sapiens (Human),306
P18850,reviewed,ATF6A_HUMAN,Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 alpha],ATF6,Homo sapiens (Human),670
Q9NZJ5,reviewed,E2AK3_HUMAN,Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK) (Protein tyrosine kinase EIF2AK3) (EC 2.7.10.2),EIF2AK3 PEK PERK,Homo sapiens (Human),1116
P35638,reviewed,DDIT3_HUMAN,DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153),DDIT3 CHOP CHOP10 GADD153,Homo sapiens (Human),169
P07602,reviewed,SAP_HUMAN,Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)],PSAP GLBA SAP1,Homo sapiens (Human),524
P47972,reviewed,NPTX2_HUMAN,Neuronal pentraxin-2 (NP2) (Neuronal pentraxin II) (NP-II),NPTX2,Homo sapiens (Human),431
Q14108,reviewed,SCRB2_HUMAN,Lysosome membrane protein 2 (85 kDa lysosomal membrane sialoglycoprotein) (LGP85) (CD36 antigen-like 2) (Lysosome membrane protein II) (LIMP II) (Scavenger receptor class B member 2) (CD antigen CD36),SCARB2 CD36L2 LIMP2 LIMPII,Homo sapiens (Human),478
P22570,reviewed,ADRO_HUMAN,"NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase) (EC 1.18.1.-)",FDXR ADXR,Homo sapiens (Human),491
Q9NRA2,reviewed,S17A5_HUMAN,Sialin (H(+)/nitrate cotransporter) (H(+)/sialic acid cotransporter) (AST) (Membrane glycoprotein HP59) (Solute carrier family 17 member 5) (Vesicular excitatory amino acid transporter) (VEAT),SLC17A5,Homo sapiens (Human),495
Q9HB90,reviewed,RRAGC_HUMAN,Ras-related GTP-binding protein C (Rag C) (RagC) (EC 3.6.5.-) (GTPase-interacting protein 2) (TIB929),RRAGC,Homo sapiens (Human),399
O15400,reviewed,STX7_HUMAN,Syntaxin-7,STX7,Homo sapiens (Human),261
P18509,reviewed,PACA_HUMAN,Pituitary adenylate cyclase-activating polypeptide (PACAP) [Cleaved into: PACAP-related peptide (PRP-48); Pituitary adenylate cyclase-activating polypeptide 27 (PACAP-27) (PACAP27); Pituitary adenylate cyclase-activating polypeptide 38 (PACAP-38) (PACAP38)],ADCYAP1,Homo sapiens (Human),176
Q99571,reviewed,P2RX4_HUMAN,P2X purinoceptor 4 (P2X4) (ATP receptor) (Purinergic receptor),P2RX4,Homo sapiens (Human),388
Q9H3Z4,reviewed,DNJC5_HUMAN,DnaJ homolog subfamily C member 5 (Ceroid-lipofuscinosis neuronal protein 4) (Cysteine string protein) (CSP),DNAJC5 CLN4,Homo sapiens (Human),198
Q9H2V7,reviewed,SPNS1_HUMAN,Protein spinster homolog 1 (HSpin1) (SPNS1) (Spinster-like protein 1),SPNS1 SPIN1 PP20300,Homo sapiens (Human),528
Q8N465,reviewed,D2HDH_HUMAN,"D-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.39)",D2HGDH D2HGD,Homo sapiens (Human),521
P22003,reviewed,BMP5_HUMAN,Bone morphogenetic protein 5 (BMP-5),BMP5,Homo sapiens (Human),454
P11802,reviewed,CDK4_HUMAN,Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3),CDK4,Homo sapiens (Human),303
Q7L523,reviewed,RRAGA_HUMAN,Ras-related GTP-binding protein A (Rag A) (RagA) (EC 3.6.5.-) (Adenovirus E3 14.7 kDa-interacting protein 1) (FIP-1),RRAGA,Homo sapiens (Human),313
Q9UEU0,reviewed,VTI1B_HUMAN,Vesicle transport through interaction with t-SNAREs homolog 1B (Vesicle transport v-SNARE protein Vti1-like 1) (Vti1-rp1),VTI1B VTI1 VTI1L VTI1L1 VTI2,Homo sapiens (Human),232
Q07812,reviewed,BAX_HUMAN,Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4),BAX BCL2L4,Homo sapiens (Human),192
Q9NVJ2,reviewed,ARL8B_HUMAN,ADP-ribosylation factor-like protein 8B (EC 3.6.5.2) (ADP-ribosylation factor-like protein 10C) (Novel small G protein indispensable for equal chromosome segregation 1),ARL8B ARL10C GIE1,Homo sapiens (Human),186
P04439,reviewed,HLAA_HUMAN,"HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)",HLA-A HLAA,Homo sapiens (Human),365
P16070,reviewed,CD44_HUMAN,CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),CD44 LHR MDU2 MDU3 MIC4,Homo sapiens (Human),742
P10747,reviewed,CD28_HUMAN,T-cell-specific surface glycoprotein CD28 (TP44) (CD antigen CD28),CD28,Homo sapiens (Human),220
